"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
60,58,1,1,4,1,5,4,3,3,3,2,2,2,2,2,5,3,5,3,4,4,5,3,3,2,6,4,4,3,2,2,3,2,3,3,2,5,3,3,3,3,3,3,1,1996,1,85,0,0,10,10,1,1,2,1,1,2,2
20,8,2,1,4,3,4,4,4,4,3,4,3,3,3,3,4,5,4,5,5,5,4,5,4,4,6,3,4,4,3,4,3,3,3,3,3,4,3,4,6,3,3,4,2,1998,1,66,3,0,6,10,3,2,2,1,2,2,2
61,11,1,2,1,2,2,4,4,5,5,4,2,4,5,5,2,6,4,4,3,2,2,2,3,3,5,3,5,4,4,3,5,3,3,2,4,6,3,4,5,3,4,3,1,1998,1,66,10,8,8,4,2,1,2,1,1,2,2
50,19,2,2,1,3,5,4,4,3,3,3,2,3,4,3,4,5,4,4,4,4,3,4,3,2,6,4,5,2,2,2,2,2,3,4,3,4,2,6,4,3,3,5,1,1995,1,85,4,0,10,30,1,1,1,1,2,2,2
71,64,2,2,2,1,3,3,4,3,1,2,3,2,3,4,4,4,4,3,3,3,3,2,3,3,4,5,5,3,4,2,3,3,3,3,3,3,2,2,5,2,3,3,1,1995,1,75,14,0,5,5,2,3,2,1,2,1,2
85,10,2,2,4,2,5,2,3,2,3,2,3,5,6,3,4,3,5,3,6,5,6,5,4,3,5,2,4,5,3,3,3,3,5,5,3,5,4,5,4,2,3,6,1,1998,1,70,6,0,6,8,3,2,2,1,2,2,2
26,9,2,1,3,3,5,4,3,3,3,3,2,3,1,2,2,7,3,7,3,5,3,3,4,5,7,3,5,5,6,4,4,3,4,3,3,4,3,7,4,2,5,6,1,1998,1,29,9,0,15,20,1,1,2,1,2,2,2
65,87,1,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,1,1997,2,63,40,5,20,20,2,3,2,1,2,1,1
53,38,2,1,1,3,5,3,4,4,3,3,2,2,2,2,2,5,3,5,4,3,4,3,3,4,4,3,5,5,3,3,3,3,5,4,3,3,3,4,3,3,3,3,1,1997,1,65,20,0,14,15,3,2,2,1,2,2,2
71,9,1,2,3,1,5,4,4,4,3,3,5,5,3,3,2,6,3,6,5,3,3,4,3,4,7,5,5,2,3,3,2,2,3,3,2,2,3,6,5,2,2,4,1,1994,1,89,20,0,13,2,1,1,2,2,2,2,2
50,10,2,2,3,3,3,5,4,3,2,3,3,5,4,3,3,5,5,5,5,5,5,5,4,3,6,5,5,4,2,2,2,3,3,3,3,3,3,6,4,5,3,4,2,1998,1,83,10,NA,16,10,3,3,2,1,2,2,2
9,8,2,1,4,2,5,5,5,6,2,2,6,6,6,6,6,2,6,2,6,6,2,6,2,4,6,3,5,4,2,2,4,4,2,2,2,4,2,3,4,3,3,3,2,1997,1,77,8,0,8,16,1,1,2,2,1,2,2
1,0,2,1,1,2,2,3,3,2,3,3,6,5,6,5,2,7,2,6,5,5,3,3,1,4,6,2,5,3,2,4,3,2,2,2,2,5,3,3,2,2,3,4,1,1994,1,75,10,0,10,8,1,1,1,1,2,2,2
20,60,2,2,2,1,3,3,5,3,3,3,2,3,3,3,2,2,5,5,5,5,5,4,5,3,5,3,2,3,3,3,3,2,3,2,2,2,2,5,2,3,3,5,2,1998,1,81,10,0,0,12,3,2,2,1,2,2,2
60,15,1,2,3,3,2,2,2,4,2,3,2,2,3,3,3,6,5,5,3,3,3,1,2,6,7,4,6,2,6,6,6,4,2,1,2,2,1,3,3,2,2,3,2,1994,2,61,8,6,10,10,1,1,1,1,1,2,1
30,1,1,1,3,1,2,4,2,2,3,2,5,5,5,5,1,7,2,7,5,5,2,3,2,3,7,6,6,1,2,4,2,2,2,2,1,4,2,5,6,1,2,3,2,1997,1,81,8.5,0,8,20,1,2,2,2,1,2,1
66,2,2,1,3,2,3,2,2,1,2,3,3,6,6,6,3,6,6,5,3,3,2,3,3,5,5,6,5,2,3,3,5,3,2,2,1,3,3,4,2,2,1,3,2,1998,1,74,12,0,12,6,3,3,2,1,2,2,2
19,1,1,1,4,3,6,5,5,5,2,4,4,5,5,3,2,6,3,6,4,5,3,3,3,4,5,6,6,3,2,2,3,3,3,3,4,5,3,5,3,3,2,3,2,1994,1,69,6,3,10,25,1,1,2,1,1,1,1
12,10,2,2,3,2,3,3,3,2,6,3,6,6,6,6,2,6,2,6,3,3,3,3,3,5,5,4,5,4,5,3,5,3,3,3,3,3,3,3,5,3,3,3,2,1998,1,60,16,0,3,22,3,2,2,1,2,1,1
40,0,1,1,1,1,2,2,2,2,2,2,3,3,2,3,1,7,2,6,5,5,4,4,4,2,6,4,4,4,2,2,3,2,4,5,3,4,4,4,4,3,4,4,1,1998,2,81,0,6,8,40,2,2,2,2,2,1,2
69,25,1,2,4,1,2,2,1,3,5,2,1,1,1,1,2,6,2,6,4,5,4,3,3,5,6,6,6,3,1,1,1,2,3,3,1,1,3,3,3,2,1,4,2,1997,2,68,10,2,10,15,2,1,2,1,1,2,1
1,0,1,2,1,3,2,7,4,5,4,6,2,2,2,2,1,7,4,4,6,6,3,3,5,6,4,4,5,2,1,2,3,4,2,3,2,1,3,6,3,6,6,6,1,1996,1,70,12,0,14,5,4,1,2,1,1,2,2
68,13,1,1,3,3,4,5,3,2,2,1,2,6,3,3,3,5,5,5,6,6,5,6,4,5,7,6,7,2,1,2,2,3,3,3,2,5,4,5,6,2,2,5,2,1998,1,25,15,0,12,5,3,1,2,2,2,2,2
95,1,1,2,3,2,3,2,3,2,2,3,5,2,3,3,3,5,2,6,5,5,3,5,4,3,5,3,3,3,2,3,2,2,3,3,2,5,3,3,2,2,3,2,1,1997,1,80,0,0,8,12,2,1,2,1,2,2,2
91,7,2,1,3,1,4,3,3,2,2,1,3,3,3,2,2,6,3,7,5,5,3,4,5,3,6,2,3,2,2,3,3,2,4,7,3,3,3,5,4,3,3,4,1,1997,2,65,5,25,8,3,2,1,2,1,2,1,1
28,25,2,2,2,3,3,3,3,5,4,5,2,2,2,1,3,5,3,5,4,4,4,3,2,5,3,4,5,3,3,5,4,3,3,3,2,2,3,2,1,1,3,3,1,1997,2,85,0,0,8,30,2,1,2,1,2,2,1
65,0,2,2,4,2,5,5,6,3,2,2,2,3,2,2,1,7,3,6,3,4,3,5,2,2,2,1,2,3,2,2,2,2,3,4,2,2,3,2,3,2,2,2,2,1998,2,45,0,20,16,18,2,1,2,2,2,1,1
61,23,2,1,2,2,4,5,4,3,3,3,2,4,2,2,5,4,5,3,3,4,4,3,4,3,5,2,4,3,3,4,2,2,5,5,3,5,4,5,4,3,4,4,2,1998,1,70,12,0,12,8,3,3,2,2,2,2,2
