"Purchase","ShareLink","Deal01","Deal02","Deal03","Deal04","PQ1","PQ2","PQ3","PV1","PV2","PV3","PC1","PC2","PC3","PC4","FNE1","FNE2","FNE3","FNE4","Spont01","Spont02","Spont03","Spont04","Spont05","Risk01","Risk02","Risk03","Risk04","Risk05","Ratio01","Ratio02","Ratio03","Ratio04","Intuit01","Intuit02","Intuit03","Intuit04","Intuit05","Depend01","Depend02","Depend03","Depend04","Depend05","dGender","YrBirth","IBA","SatFac","HrPWork","HrVWork","HrClass","HrStud","cLiving","cLocate","dPreMas","dSport","dFraternity","dAssoc","dAbroad"
0,0,2,1,1,3,5,5,5,4,4,4,2,2,2,2,1,7,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,60,2,1,2,1,3,3,3,2,2,4,5,3,4,3,5,3,5,3,5,4,5,4,5,3,5,2,3,4,2,3,2,2,2,3,3,3,3,3,3,1,3,2,2,1998,2,77,0,0,5,9,4,1,2,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,2,2,1,3,4,3,3,2,2,2,3,4,6,6,6,2,6,2,6,2,4,4,2,3,7,6,6,3,2,2,2,2,3,2,2,2,2,7,3,2,2,3,1,1993,1,85,0,0,8,8,2,2,2,1,2,2,1
83,72,1,1,2,2,2,2,4,2,2,2,4,6,6,6,3,4,6,3,2,4,2,4,1,4,7,3,4,1,3,2,4,3,2,2,2,2,3,6,4,2,6,6,2,1999,2,72,0,26,15,36,2,1,2,2,2,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,80,2,1,1,1,1,3,3,2,2,6,2,2,2,2,3,5,6,5,5,3,5,5,4,1,7,5,6,1,1,2,1,2,3,5,2,6,4,5,4,4,6,3,1,1994,2,81,16,0,6,25,2,1,1,2,2,2,1
100,2,1,2,4,1,3,6,5,2,2,6,1,2,3,6,2,6,2,6,1,2,2,1,1,7,7,7,7,1,3,3,3,2,1,1,1,2,1,5,4,2,2,6,1,1994,1,82,10,0,8,5,2,1,1,1,2,2,2
82,2,2,2,4,2,6,5,4,4,1,1,2,3,2,2,1,7,2,7,3,2,3,2,2,2,3,2,2,6,2,3,2,2,3,3,3,2,3,1,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,100,2,1,4,2,2,3,2,2,1,1,1,3,1,3,1,7,2,6,5,5,5,4,2,3,6,2,4,3,2,3,2,3,3,3,2,4,3,3,2,1,1,2,2,1998,1,72,18,0,5,10,1,1,2,1,1,2,2
75,2,2,1,3,3,3,5,4,2,2,3,3,2,3,2,2,6,2,3,3,3,2,3,3,3,6,2,5,2,5,3,3,3,3,2,2,3,2,3,2,1,2,2,2,1996,1,85,25,0,5,12,4,1,2,2,1,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,90,2,1,2,1,3,3,3,2,2,3,2,3,2,2,3,7,4,5,3,4,3,6,1,4,7,3,6,2,1,1,2,1,2,2,2,5,3,6,3,3,2,6,1,1993,1,81,10,0,6,6,2,3,2,1,2,2,1
60,1,2,1,4,2,3,3,3,3,3,6,1,1,1,1,2,5,3,5,6,5,5,5,3,5,5,3,5,4,3,3,3,3,2,2,2,3,3,3,3,3,2,5,1,1997,1,72,14,0,16,5,3,1,2,1,2,1,2
91,1,1,2,3,2,2,6,3,1,2,3,2,3,2,1,7,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,5,1,2,2,3,2,6,3,3,3,5,3,5,3,3,5,5,5,5,5,5,3,5,3,6,6,3,5,5,5,2,3,2,3,3,3,5,2,5,5,3,3,5,1,1997,1,70,12,0,8,10,1,1,2,1,1,2,2
81,19,2,2,3,1,3,3,4,2,3,3,4,5,3,3,2,6,2,6,5,3,5,3,3,3,4,2,3,4,3,3,3,3,5,4,2,4,3,4,3,3,3,3,1,1997,2,80,0,0,15,15,1,2,2,2,2,2,1
40,1,2,1,3,3,6,6,4,3,1,3,2,1,1,4,1,7,3,6,5,6,5,6,4,4,6,2,3,6,4,2,2,2,3,6,3,6,6,5,3,3,2,4,1,1995,1,77,0,0,4,6,5,1,2,2,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1,1,4,1,3,3,4,2,2,3,6,6,6,6,2,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,30,1,2,4,2,3,4,3,1,1,1,2,3,3,3,1,6,3,5,6,6,5,5,2,3,6,4,5,3,2,2,2,1,2,3,2,3,1,5,2,2,3,3,2,1997,1,40,10,5,10,25,1,1,2,1,2,2,1
91,9,2,2,4,2,6,5,4,1,1,1,1,1,2,2,1,6,2,6,4,3,6,3,3,3,6,3,4,2,5,3,1,2,4,3,2,4,3,2,1,1,2,3,2,1998,2,86,8,0,8,20,2,1,2,2,2,2,1
16,1,2,2,2,3,3,5,3,3,3,4,4,3,3,3,2,6,3,6,5,5,3,6,3,3,6,3,6,3,3,2,2,2,3,4,2,4,3,3,3,3,3,4,2,1997,1,77,9,0,0,10,1,1,2,1,2,2,2
70,30,1,2,3,1,3,3,4,5,5,4,2,2,2,2,3,3,5,5,5,4,4,4,3,3,6,3,5,3,3,3,3,3,4,3,3,4,3,4,5,3,2,4,2,1996,2,70,8,10,15,25,5,3,2,1,2,1,1
20,0,1,2,1,1,2,3,3,2,2,5,2,2,2,2,1,7,2,6,4,2,2,5,1,3,5,3,5,3,3,4,3,2,3,3,2,4,2,6,6,4,3,7,1,1998,1,5,12,0,14,1,3,1,2,1,2,2,2
54,3,2,1,3,2,5,6,6,2,3,2,5,5,6,4,1,7,2,6,3,5,3,2,3,2,7,4,6,3,2,4,2,2,3,3,2,2,2,6,3,2,4,4,1,1997,1,75,0,0,5,5,3,2,2,2,2,1,2
41,61,2,1,4,3,3,5,4,3,2,3,2,2,1,2,6,3,7,2,4,5,5,5,5,2,6,3,4,5,2,3,2,3,2,2,3,3,3,3,2,2,3,3,1,1992,1,80,10,8,12,10,1,1,2,1,1,1,2
15,20,2,2,1,1,3,2,2,3,3,4,5,5,5,5,3,5,5,5,5,4,4,5,3,5,5,3,2,3,3,4,2,2,3,3,3,3,3,5,3,3,3,3,2,1998,1,75,18,0,14,20,3,3,2,2,2,2,2
50,0,1,1,4,2,6,6,3,4,1,3,6,3,3,3,2,6,2,6,5,6,5,6,2,3,5,2,4,4,5,2,2,2,2,2,2,4,4,6,6,5,3,5,1,1997,1,66,4,0,12,20,3,3,2,2,2,1,1
19,3,1,1,3,3,5,5,6,6,7,7,3,2,3,2,2,7,2,6,3,2,2,2,2,5,5,2,5,5,3,5,3,3,2,2,2,2,1,5,3,3,3,3,1,1996,1,70,10,0,6,20,2,1,2,1,2,2,2
75,15,1,1,2,1,4,3,3,3,2,3,3,3,2,2,4,4,5,5,3,2,3,2,3,5,5,5,5,3,4,5,4,3,3,3,3,4,3,5,5,3,5,5,1,1996,1,80,5,0,14,25,3,3,2,1,2,1,2
26,12,2,2,2,2,3,2,2,2,2,3,1,1,2,2,1,7,2,7,7,6,5,7,3,3,6,3,5,3,2,2,2,2,3,3,2,3,2,5,1,1,1,3,2,1998,2,76,13,2,12,15,1,2,2,1,2,1,1
35,9,2,2,4,1,3,4,3,2,3,4,5,3,3,2,3,5,6,4,5,5,3,3,4,3,5,3,5,3,3,2,3,2,3,3,3,3,3,4,5,3,3,3,1,1996,1,43,8,20,10,10,1,2,2,2,1,1,2
86,16,1,2,4,3,4,3,2,3,2,2,3,3,3,2,3,5,3,5,5,2,2,4,2,3,6,2,3,3,4,3,3,3,2,2,2,2,3,4,4,2,4,6,1,1997,2,61,0,0,12,12,2,1,2,2,2,2,1
30,0,2,1,1,2,4,4,4,3,3,5,3,3,3,3,3,4,4,5,5,3,3,3,3,4,3,4,2,2,4,4,4,2,3,3,2,4,4,4,4,4,3,3,1,1998,2,87,0,0,12,12,2,1,2,2,2,1,1
30,1,2,1,3,1,6,6,6,3,5,4,3,2,4,3,2,6,2,6,4,3,3,2,3,4,1,2,1,3,5,3,3,3,3,3,3,2,3,4,3,2,3,3,1,1998,1,61,5,0,0,0,2,1,2,2,1,1,2
85,10,2,2,4,2,2,3,3,1,1,1,6,6,6,6,2,6,2,6,6,6,6,6,2,2,4,1,3,6,2,3,2,2,3,4,2,3,3,4,2,2,2,3,1,1999,1,75,6,0,2,6,3,2,2,2,2,2,2
34,17,1,1,2,3,3,3,3,6,6,6,3,3,3,5,2,6,2,6,3,6,6,5,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,6,2,2,2,1,1998,1,67,4,8,12,12,2,1,2,1,2,2,2
54,22,2,2,3,3,5,3,4,2,2,3,2,2,4,2,2,6,4,5,4,4,3,4,3,4,5,3,3,6,2,2,3,2,4,4,2,3,3,3,2,2,3,3,1,1998,1,89,9,3,7,7.5,3,2,2,1,2,1,2
86,1,1,1,4,1,3,5,4,5,4,2,3,6,4,3,6,6,5,5,4,5,6,3,4,3,5,4,3,3,5,5,3,5,2,4,2,4,3,2,5,2,2,3,1,1994,1,61,12,0,14,10,5,2,2,1,2,2,2
80,30,2,2,1,1,2,1,2,2,4,3,4,3,3,3,2,5,3,5,5,5,5,5,4,3,5,5,5,2,2,3,3,3,5,5,3,5,3,3,5,3,3,3,1,1997,1,78,27,0,4,10,3,3,2,1,2,2,2
60,1,1,2,1,2,3,2,2,3,6,6,6,4,2,2,2,6,3,5,5,3,5,5,2,2,6,5,6,2,2,2,2,2,2,3,2,3,3,3,5,2,2,2,1,1997,1,75,10,0,8,18,2,2,2,1,1,2,2
40,1,1,1,1,2,2,3,3,5,3,3,2,2,1,2,5,3,6,3,6,6,5,6,2,2,6,2,5,5,2,3,2,2,3,2,2,6,2,3,3,2,2,2,1,1994,1,55,24,0,8,20,1,2,2,2,2,2,2
35,5,2,1,2,3,3,5,4,3,3,5,2,2,2,2,3,5,3,5,2,4,4,3,3,2,3,4,3,3,3,3,3,3,4,5,2,2,3,3,5,3,2,4,2,1997,1,13,5,0,5,15,1,1,2,1,1,2,1
65,21,1,2,3,3,3,5,3,4,3,5,6,3,5,4,2,5,6,3,6,6,6,7,6,4,7,4,6,2,2,2,2,3,7,6,2,3,6,2,2,1,3,3,2,1996,2,72,15,0,8,25,2,1,2,1,2,2,1
95,8,1,2,3,2,7,6,7,6,7,1,4,4,4,4,3,5,6,6,4,3,2,2,2,3,2,4,4,3,2,2,2,2,2,2,2,6,2,2,2,2,2,4,1,1995,1,90,16,0,12,12,3,1,1,1,2,2,2
40,71,2,2,3,1,4,3,4,3,2,2,6,5,3,3,6,2,6,2,6,7,3,6,5,1,6,5,6,4,1,2,2,2,2,1,2,6,2,4,2,3,3,4,1,1995,1,80,18,0,9,14,3,3,2,1,2,2,2
80,10,2,1,4,1,6,3,3,1,1,1,2,2,2,2,3,5,5,5,5,5,4,5,4,3,5,3,2,4,2,3,3,3,3,3,3,3,3,3,5,2,3,2,1,1998,1,60,8,0,12,8,3,1,2,1,2,2,2
30,0,2,1,2,3,6,7,6,6,4,6,2,3,2,2,5,3,6,3,5,6,2,3,5,3,6,5,6,2,1,3,2,2,6,6,2,6,6,6,6,6,6,6,1,1993,1,75,16,0,6,24,2,1,1,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,2,1,3,2,5,5,4,3,2,5,2,3,2,2,4,5,6,3,3,2,6,2,3,2,7,2,2,3,2,6,3,2,2,2,2,3,2,2,2,2,2,2,2,1995,1,84,19,2,10,10,1,1,2,1,1,2,2
62,1,1,2,2,3,3,4,3,2,2,3,3,2,2,2,2,6,2,6,3,3,3,3,3,4,6,3,2,3,2,2,2,3,3,4,3,3,3,6,4,4,3,5,1,1994,1,80,10,0,15,8,1,1,2,1,1,2,2
76,1,2,1,1,3,3,3,3,3,3,3,5,5,4,4,2,5,3,6,5,4,4,4,3,3,5,3,4,4,3,2,4,3,3,3,2,5,3,5,4,3,3,5,1,1995,1,81,10,10,2,8,1,1,2,1,1,1,2
40,55,1,1,3,1,2,2,5,3,3,2,6,6,5,5,5,3,5,3,3,3,5,3,5,5,6,3,5,3,3,3,3,3,4,4,3,5,3,3,4,2,3,3,2,1998,2,56,0,0,14,12,2,1,2,2,2,2,2
40,20,1,2,1,2,3,2,3,4,2,4,2,2,2,2,6,2,5,2,4,5,3,5,3,3,6,4,6,4,4,4,3,4,2,2,2,2,1,6,2,2,4,3,2,1999,1,91,0,0,8,21,2,4,2,2,2,1,2
19,3,2,2,1,2,4,5,5,5,5,5,6,4,5,3,6,6,6,2,4,4,4,4,3,5,6,4,5,3,4,4,3,3,3,4,2,4,4,4,4,5,4,4,1,1996,1,60,24,0,10,5,5,1,2,1,2,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0,2,1,3,2,6,5,6,6,2,2,2,3,3,3,2,7,2,6,6,5,3,5,4,2,5,5,2,2,2,2,3,2,3,2,2,3,2,5,3,2,2,6,2,1997,2,81,16,3,3,20,5,1,2,1,1,2,1
80,5,2,2,1,3,2,2,2,3,2,2,6,4,6,5,3,4,6,4,3,2,2,3,2,3,6,3,3,3,2,3,2,2,2,2,2,2,2,3,4,2,2,5,1,1997,1,80,12,0,6,18,3,1,2,2,2,2,2
39,0,2,1,1,1,3,3,3,3,3,2,2,2,2,2,1,6,1,5,5,5,5,3,2,2,6,2,5,2,2,2,2,1,2,4,2,2,2,6,1,3,2,4,2,1998,2,20,10,10,6,8,2,1,2,2,2,1,1
69,51,2,2,4,2,3,4,3,3,3,2,5,4,6,5,5,2,3,5,3,3,2,5,5,3,5,3,3,3,3,3,4,3,5,5,5,4,4,5,5,5,3,5,1,1995,1,74,10,0,5,15,3,1,2,1,2,2,1
78,20,1,2,3,3,2,3,5,2,3,4,6,6,6,6,6,2,6,2,2,2,4,2,4,4,6,4,3,2,2,5,5,3,3,2,2,2,3,6,4,3,4,3,1,1998,1,61,18,3,9,6,3,3,2,1,2,2,2
80,60,1,2,3,1,2,3,2,3,2,2,2,6,2,2,6,2,6,3,3,2,3,2,3,4,3,2,5,2,2,3,3,2,3,2,3,2,2,2,3,1,3,2,1,1997,1,80,10,0,10,18,3,2,2,1,2,2,2
40,0,1,2,4,1,5,5,5,1,1,1,4,4,4,4,4,4,4,2,5,5,4,3,3,4,6,3,3,4,3,2,2,2,3,3,2,3,2,4,2,4,2,4,1,1998,1,66,0,0,4,4,5,2,2,1,1,2,2
73,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,2,2,2,2,2,5,2,4,2,2,2,4,3,3,3,6,2,6,2,5,2,3,5,3,2,5,2,3,6,2,3,3,2,3,5,2,5,3,3,6,2,2,3,1,1996,1,70,8,0,20,10,2,3,2,1,1,1,2
60,5,1,1,3,1,2,3,3,2,2,3,3,4,3,3,3,5,3,5,4,3,4,3,3,4,6,3,6,3,3,3,3,3,2,3,2,3,2,5,2,2,2,4,1,1996,1,77,0,0,15,10,2,4,2,1,1,2,2
20,19,1,1,2,3,4,5,3,6,6,6,2,2,2,2,3,3,4,6,3,4,2,3,2,3,3,3,2,3,2,2,3,3,2,2,2,3,2,5,5,2,3,2,1,1998,1,76,5,0,14,8,3,2,2,1,2,2,2
35,15,1,1,2,1,2,2,2,3,4,5,3,2,4,3,2,6,3,6,3,3,3,3,2,4,6,3,6,2,2,3,2,2,3,3,3,5,3,2,2,2,2,3,1,1998,1,75,3,0,12,5,3,3,2,2,2,2,2
20,1,1,1,1,2,3,3,3,3,3,5,1,1,1,1,2,6,2,6,2,7,3,7,2,2,5,2,2,7,2,2,2,2,2,2,2,6,2,6,6,7,3,6,1,1998,1,80,5,0,10,25,1,1,2,1,1,2,2
10,1,2,2,1,3,3,5,3,7,7,7,4,3,1,1,1,7,3,5,7,1,7,1,4,1,7,5,7,2,6,1,1,1,4,3,3,6,4,2,4,2,2,3,2,1998,2,80,8,4,14,50,1,4,2,2,2,1,1
81,20,2,2,4,1,2,2,2,1,1,1,1,1,3,1,7,1,7,3,6,5,5,6,2,1,3,2,3,6,1,3,1,1,2,2,2,4,3,1,1,1,1,3,2,1997,2,19,0,14,12,14,2,2,2,1,2,2,2
83,2,1,1,4,3,2,2,2,2,2,2,1,1,1,1,3,5,3,5,7,7,7,7,3,3,7,7,7,1,1,1,2,1,1,3,1,3,3,7,7,3,3,7,2,1995,2,100,10,5,20,40,4,1,2,2,2,2,1
10,1,1,2,1,2,3,3,3,6,4,6,3,3,3,3,2,6,2,6,2,5,2,5,2,2,3,3,2,3,2,3,2,2,2,2,3,3,2,2,4,1,2,2,2,1998,1,71,16,0,8,4,3,1,2,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,64,2,1,2,3,2,2,3,1,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,1,1,3,NA,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,2,1,1,NA,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,42,2,1,2,1,3,3,4,3,3,3,3,3,3,3,5,4,6,3,4,4,5,4,3,4,6,5,2,5,3,2,3,3,5,5,5,6,5,5,6,4,3,3,2,1996,2,81,40,6,15,10,2,1,2,1,2,2,1
91,21,1,2,4,2,6,4,3,2,2,4,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,15,2,1,3,3,3,3,3,2,1,2,5,5,5,5,4,4,4,4,3,2,2,2,3,4,5,5,5,5,6,3,3,3,2,2,3,2,3,3,3,2,2,3,1,1996,1,70,0,0,12,25,5,1,2,1,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,5,1,1,3,2,4,4,4,2,1,1,4,2,4,3,4,3,6,2,4,3,5,3,2,2,6,6,5,1,2,3,2,2,3,3,2,4,2,3,5,4,3,3,2,1998,2,80,0,0,8,5,2,1,2,2,2,2,2
75,15,2,2,2,1,3,2,4,2,2,4,3,3,3,3,6,2,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,30,2,2,3,3,2,2,2,2,3,2,3,3,3,3,3,5,5,5,7,6,7,3,3,1,5,2,3,3,1,2,1,1,2,2,2,3,2,3,6,2,2,3,2,1997,1,60,0,8,6,4,2,3,2,2,2,2,2
10,0,1,1,1,1,2,3,3,3,4,5,3,5,4,6,2,6,2,5,5,5,3,5,4,2,6,5,5,3,2,1,2,2,3,3,2,7,3,5,4,3,3,5,1,1994,1,45,0,0,6,8,2,1,2,2,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
